2026-08-03 02:39:18 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:39:19 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:39:25 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:39:25 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:39:44 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:39:46 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:39:47 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:43:34 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:43:34 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:43:58 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:44:00 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:44:01 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:44:27 | INFO     | nis.services.theme_service | Applied 'light' theme
2026-08-03 02:44:27 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'light'
2026-08-03 02:44:28 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:44:28 | INFO     | nis.utils.config_manager | Setting 'theme' updated to 'dark'
2026-08-03 02:44:33 | INFO     | nis.database.db_manager | Deleted history entry id=19
2026-08-03 02:44:33 | INFO     | nis.database.db_manager | Deleted history entry id=20
2026-08-03 02:44:34 | INFO     | nis.database.db_manager | Deleted history entry id=21
2026-08-03 02:44:34 | INFO     | nis.database.db_manager | Deleted history entry id=22
2026-08-03 02:44:34 | INFO     | nis.database.db_manager | Deleted history entry id=23
2026-08-03 02:47:23 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:47:24 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:47:25 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:48:03 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:48:03 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:48:16 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:48:17 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:48:17 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:48:24 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:48:24 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:51:52 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:51:53 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:51:53 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:52:24 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:52:24 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 02:53:07 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 02:53:08 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 02:53:09 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 02:53:31 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'sin(x)' on [0.0, 3.141593] with n=100
2026-08-03 02:53:31 | INFO     | nis.database.db_manager | Inserted history entry id=24
2026-08-03 02:53:41 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'x**2' on [0.0, 2.0] with n=100
2026-08-03 02:53:41 | INFO     | nis.database.db_manager | Inserted history entry id=25
2026-08-03 02:53:46 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'exp(-x)' on [0.0, 1.0] with n=100
2026-08-03 02:53:46 | INFO     | nis.database.db_manager | Inserted history entry id=26
2026-08-03 02:53:59 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 02:53:59 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 13:26:17 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 13:26:19 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 13:26:24 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 13:37:03 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 13:37:03 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 13:37:18 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 13:37:20 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 13:37:20 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 13:56:27 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 13:56:27 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x/(x+1)' on [0.0, 1.0] with n=100
2026-08-03 13:56:27 | INFO     | nis.database.db_manager | Inserted history entry id=27
2026-08-03 13:56:27 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 13:56:27 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x/(x+1)' on [0.0, 1.0] with n=100
2026-08-03 13:56:27 | INFO     | nis.database.db_manager | Inserted history entry id=28
2026-08-03 14:19:41 | INFO     | nis.algorithms.simpson_three_eighth | Simpson's 3/8 Rule: n=100 is not a multiple of 3; rounding up to n=102
2026-08-03 14:19:41 | INFO     | nis.controllers.integration_controller | Computed 4 method(s) for 'x/(x+1)' on [0.0, 1.0] with n=100
2026-08-03 14:19:41 | INFO     | nis.database.db_manager | Inserted history entry id=29
2026-08-03 14:31:42 | INFO     | nis.database.db_manager | Database connection closed
2026-08-03 14:31:42 | INFO     | nis.__main__ | Numerical Integration Studio exited with code 0
2026-08-03 14:31:57 | INFO     | nis.__main__ | Starting Numerical Integration Studio v1.0.0
2026-08-03 14:31:58 | INFO     | nis.database.db_manager | Database schema initialized at data/history.db
2026-08-03 14:31:59 | INFO     | nis.services.theme_service | Applied 'dark' theme
2026-08-03 14:39:58 | INFO     | nis.controllers.integration_controller | Computed 1 method(s) for 'x/(x+1)' on [0.0, 1.0] with n=100
2026-08-03 14:39:58 | INFO     | nis.database.db_manager | Inserted history entry id=30
2026-08-03 14:40:31 | INFO     | nis.controllers.convergence_controller | Ran convergence sweep for methods ['taylor'] over n in [12, 25, 50, 100, 200, 400, 800]
